BrandID,BrandGUID,BrandDesc,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,MBrandID,DeptID
1,7C0670F3-9799-43C5-8545-575CBFA20B75,1 SHIRTS,NULL,NULL,NULL,NULL,10537,14
2,BD9CAE3A-015C-4F0F-8B5A-C25CB44B73AD,10,NULL,NULL,NULL,NULL,10695,18
3,2F184841-0A61-4E08-A49C-DB49C807F8D7,120% LINEN,NULL,NULL,NULL,NULL,11412,34
4,A8AFEBE6-7C98-46EB-A812-4AC6EAF510CC,18TH AMMENDMENT,NULL,NULL,NULL,NULL,12995,9
5,86162890-79E4-40EB-B3E1-3E9715F8DB53,20 ANS,NULL,NULL,NULL,NULL,12604,18
6,FD53001C-AD3C-4C5A-A0DE-C71EB7CA0935,2K,NULL,NULL,NULL,NULL,12083,18
7,1077E1C5-790F-43EE-A0D2-54081CA3B40B,2K,NULL,NULL,NULL,NULL,12565,12
8,2F45BAD6-91D7-4309-B68B-3E9833C975C0,3 DOTS,NULL,NULL,NULL,NULL,12091,9
9,10B39143-8CB8-4BB5-9C48-9A0F95C82836,3 POINT 1,NULL,NULL,NULL,NULL,12186,7
10,B6CC05FB-9330-4032-A384-AB1E4CFE2B5F,55DSL,NULL,NULL,NULL,NULL,10426,12
11,CAD96CF3-4C2F-47B3-8C06-F53BE78C4A92,55DSL,NULL,NULL,NULL,NULL,10745,18
12,7A09B938-5ECD-4362-95A5-458EA8FCBFB9,55DSL,NULL,NULL,NULL,NULL,10793,19
13,66E51136-0847-4F69-9E41-58015257E57C,575 DENIM,NULL,NULL,NULL,NULL,13146,9
14,59700F55-BF40-4944-940E-98758BFBDFFD,6267,NULL,NULL,NULL,NULL,12858,2
15,AF0ED537-0454-46B2-9CFD-6BF8B4BE54C2,7 TEES,NULL,NULL,NULL,NULL,10470,12
16,339BCA05-F81E-4835-9317-6FC99BC159F7,7 TEES,NULL,NULL,NULL,NULL,12079,18
17,E00B0DA5-69F1-4676-9337-B0A64F02B223,73 BY PEPE JEANS,NULL,NULL,NULL,NULL,12630,12
18,C5E3510C-A595-458A-9A9D-EA46E529007E,A DELL ACQUA,NULL,NULL,NULL,NULL,10686,18
19,16E3DA75-1BA8-4A41-B3B9-57748DBE3778,A DEMEULEMEESTER,NULL,NULL,NULL,NULL,10113,3
20,7BAF86EE-F8E6-4EC1-97F7-34D11611CD33,A DEMEULEMEESTER,NULL,NULL,NULL,NULL,10680,18
21,E8999EBB-14EE-435F-9506-0E092BD6F8E6,A MCQUEEN,NULL,NULL,NULL,NULL,10116,3
22,7EEC81F0-EC2A-433E-9BD3-03C259205CFB,A MCQUEEN,NULL,NULL,NULL,NULL,10681,18
23,B3F9A577-4EE4-4E89-8736-9C97ECEBF576,A MCQUEEN,NULL,NULL,NULL,NULL,11749,38
24,5C50FF4F-84C8-45B2-BFE0-9DF42DD58B84,A&G,NULL,NULL,NULL,NULL,10293,9
25,771DB909-0A7C-4948-A13A-185C2A7AAF77,A&G,NULL,NULL,NULL,NULL,10427,12
26,65474716-7C9A-46B2-BAA6-84B0F04719E3,A&G,NULL,NULL,NULL,NULL,12071,17
27,137C765A-F7AA-417F-B2F9-72E28A8A5635,A&G CASHMERE,NULL,NULL,NULL,NULL,12118,18
28,5795C91F-1B06-43F6-9159-D957D8C117F1,ACCA-PACCA,NULL,NULL,NULL,NULL,11909,40
29,E01BF4E0-74B3-43CA-AD0C-28DB77291769,ACCESSORIES,NULL,NULL,NULL,NULL,10610,12
30,FBB9FE85-C537-4CFC-827A-DF7D50761DCD,ACCESSORIES C,NULL,NULL,NULL,NULL,12582,28
31,DF537A1A-07EF-49C2-A83D-A541432FB1C1,ACNE,NULL,NULL,NULL,NULL,12972,12
32,B1DEDDE5-D155-4C8D-A5B6-094E196DC2AA,ACUPUNCTURE,NULL,NULL,NULL,NULL,11656,42
33,335B9D8F-E629-47BD-8A9D-128900252FEE,ADAM AND EVE,NULL,NULL,NULL,NULL,12553,16
34,1374A9D9-159F-4F9F-AEE7-96CA75EC059F,ADAM PLUS EVE,NULL,NULL,NULL,NULL,12408,16
35,0290CE2D-8DC2-4B3C-A272-B8E09737DF35,ADP DUBLIN,NULL,NULL,NULL,NULL,13190,39
36,CCEBA106-267F-4F72-BC25-EEEE2DC96B8C,ADRIENNE LANDAU,NULL,NULL,NULL,NULL,11218,32
37,A4EC50D9-9AEF-4DDC-9597-74CDD5470400,AF HOUSE,NULL,NULL,NULL,NULL,12810,28
38,8AC63879-4A37-4199-AB51-22CFA2DEE8B9,AH CHE,NULL,NULL,NULL,NULL,13192,9
